date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:04:13	11214/11214	---M-Z	200	added ('OK')	text/html	etag:%222bce-64df8739e02f1-gzip%22	https://mapitgis.com/docs/tags/mobile-gis/	F:/mapitgis/mapitgis/mapitgis.com/docs/tags/mobile-gis/index.html	(from https://mapitgis.com/docs/intro/)
17:04:13	334/334	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2003%20Apr%202026%2023:04:14%20GMT	https://mapitgis.com/docs/tags/data-collection	F:/mapitgis/mapitgis/mapitgis.com/docs/tags/data-collection	(from https://mapitgis.com/docs/intro/)
17:04:13	11214/11214	---M-Z	200	added ('OK')	text/html	etag:%222bce-64df873a83833-gzip%22	https://mapitgis.com/docs/tags/user-guide/	F:/mapitgis/mapitgis/mapitgis.com/docs/tags/user-guide/index.html	(from https://mapitgis.com/docs/intro/)
17:04:13	326/326	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2003%20Apr%202026%2023:04:14%20GMT	https://mapitgis.com/docs/tags/mapping	F:/mapitgis/mapitgis/mapitgis.com/docs/tags/mapping	(from https://mapitgis.com/docs/intro/)
17:04:13	11580/11580	---M-Z	200	added ('OK')	text/html	etag:%222d3c-64df87396ac0d-gzip%22	https://mapitgis.com/docs/tags/data-collection/	F:/mapitgis/mapitgis/mapitgis.com/docs/tags/data-collection/index.html	(from https://mapitgis.com/docs/intro/)
17:04:13	330/330	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2003%20Apr%202026%2023:04:15%20GMT	https://mapitgis.com/docs/tags/geo-package	F:/mapitgis/mapitgis/mapitgis.com/docs/tags/geo-package	(from https://mapitgis.com/docs/intro/)
17:04:14	11193/11193	---M-Z	200	added ('OK')	text/html	etag:%222bb9-64df8739df739-gzip%22	https://mapitgis.com/docs/tags/mapping/	F:/mapitgis/mapitgis/mapitgis.com/docs/tags/mapping/index.html	(from https://mapitgis.com/docs/intro/)
17:04:14	325/325	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2003%20Apr%202026%2023:04:15%20GMT	https://mapitgis.com/docs/tags/mapbox	F:/mapitgis/mapitgis/mapitgis.com/docs/tags/mapbox	(from https://mapitgis.com/docs/intro/)
17:04:14	11986/11986	---M-Z	200	added ('OK')	text/html	etag:%222ed2-64df873990d6b-gzip%22	https://mapitgis.com/docs/tags/geo-package/	F:/mapitgis/mapitgis/mapitgis.com/docs/tags/geo-package/index.html	(from https://mapitgis.com/docs/intro/)
17:04:14	11186/11186	---M-Z	200	added ('OK')	text/html	etag:%222bb2-64df8739df739-gzip%22	https://mapitgis.com/docs/tags/mapbox/	F:/mapitgis/mapitgis/mapitgis.com/docs/tags/mapbox/index.html	(from https://mapitgis.com/docs/intro/)
17:04:15	322/322	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2003%20Apr%202026%2023:04:16%20GMT	https://mapitgis.com/docs/tags/gps	F:/mapitgis/mapitgis/mapitgis.com/docs/tags/gps.2d.delayed	(from https://mapitgis.com/docs/intro/)
17:04:15	11447/11447	---M-Z	200	added ('OK')	text/html	etag:%222cb7-64df8739a78b3-gzip%22	https://mapitgis.com/docs/tags/gps/	F:/mapitgis/mapitgis/mapitgis.com/docs/tags/gps/index.html	(from https://mapitgis.com/docs/intro/)
17:04:15	325/325	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2003%20Apr%202026%2023:04:17%20GMT	https://mapitgis.com/docs/tags/survey	F:/mapitgis/mapitgis/mapitgis.com/docs/tags/survey	(from https://mapitgis.com/docs/intro/)
17:04:15	11394/11394	---M-Z	200	added ('OK')	text/html	etag:%222c82-64df873a51b55-gzip%22	https://mapitgis.com/docs/tags/survey/	F:/mapitgis/mapitgis/mapitgis.com/docs/tags/survey/index.html	(from https://mapitgis.com/docs/intro/)
